CONTA,PETRÓLEO,GÁS NATURAL,CARVÃO VAPOR,CARVÃO METALÚRGICO,URÂNIO U3O8,ENERGIA HIDRÁULICA,LENHA,PRODUTOS DA CANA,OUTRAS FONTES PRIMÁRIAS,ENERGIA PRIMÁRIA TOTAL,BIODIESEL,ÓLEO DIESEL,ÓLEO COMBUSTÍVEL,GASOLINA,GLP,NAFTA,QUEROSENE,GÁS DE CIDADE E DE COQUERIA,COQUE DE CARVÃO MINERAL,URÂNIO CONTIDO NO UO2,ELETRICIDADE,CARVÃO VEGETAL,ÁLCOOL ETÍLICO ANIDRO E HIDRATADO,OUTRAS SECUNDÁRIAS DE PETRÓLEO,PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO,ALCATRÃO,ENERGIA SECUNDÁRIA TOTAL,TOTAL,Ano
    CARVOARIAS,0,0,0.0,0,0,0,-7394,0,0,-7394,0,0,0,0,0,0,0,0,0,0,0,3941,0,0,0,0,3941,-3453,2017-01-01
    DESTILARIAS,0,0,0.0,0,0,0,0,-14454,0,-14454,0,0,0,0,0,0,0,0,0,0,0,0,14404,0,0,0,14404,-49,2017-01-01
    OUTRAS TRANSFORMAÇÕES,-2415,-1719,0.0,0,0,0,0,0,1306,-2827,3398,-552,-16,1114,117,-3574,0,0,0,0,0,0,0,2333,-154,0,2666,-161,2017-01-01
 PERDAS NA DISTRIBUIÇÃO E ARMAZENAGEM  ,0,-385,-1.14,-59,0,0,0,0,0,-446,0,0,0,0,0,0,0,0,-26,0,-8395,-58,-56,-126,0,0,-8661,-9108,2017-01-01
 CONSUMO FINAL  ,0,17229,3660.75685096754,0,0,0,17057,29125,8353,75426,3313,42977,3121,24855,8303,7128,3300,1403,7744,0,45950,3882,14348,10521,6307,244,183403,258830,2017-01-01
  CONSUMO FINAL NÃO-ENERGÉTICO,0,689,0.0,0,0,0,0,0,0,689,0,0,0,0,0,7128,1,0,0,0,0,0,490,276,6307,154,14358,15048,2017-01-01
  CONSUMO FINAL ENERGÉTICO,0,16540,3660.75685096754,0,0,0,17057,29125,8353,74737,3313,42977,3121,24855,8303,0,3298,1403,7744,0,45950,3882,13857,10244,0,90,169044,243782,2017-01-01
    SETOR ENERGÉTICO  ,0,5296,0.0,0,0,0,0,11925,0,17222,0,569,177,0,26,0,0,202,0,0,3086,0,0,3698,0,0,7760,24982,2017-01-01
    RESIDENCIAL  ,0,379,0.0,0,0,0,6486,0,581,7446,0,0,0,0,6605,0,2,0,0,0,11561,384,0,0,0,0,18554,26000,2017-01-01
    COMERCIAL  ,0,92,0.0,0,0,0,89,0,114,296,0,12,18,0,394,0,0,0,0,0,7757,84,0,0,0,0,8267,8563,2017-01-01
    PÚBLICO,0,42,0.0,0,0,0,0,0,0,42,0,2,6,0,258,0,0,0,0,0,3724,0,0,0,0,0,3992,4035,2017-01-01
    AGROPECUÁRIO  ,0,0,0.0,0,0,0,3135,0,0,3135,484,6149,13,0,19,0,0,0,0,0,2471,9,8,0,0,0,9155,12291,2017-01-01
    TRANSPORTES - TOTAL  ,0,1734,0.0,0,0,0,0,0,0,1734,2753,35299,924,24855,0,0,3295,0,0,0,176,0,13848,0,0,0,81155,82889,2017-01-01
      RODOVIÁRIO  ,0,1734,0.0,0,0,0,0,0,0,1734,2678,34031,0,24816,0,0,0,0,0,0,0,0,13848,0,0,0,75374,77109,2017-01-01
      FERROVIÁRIO  ,0,0,0.0,0,0,0,0,0,0,0,74,952,0,0,0,0,0,0,0,0,176,0,0,0,0,0,1203,1203,2017-01-01
      AÉREO ,0,0,0.0,0,0,0,0,0,0,0,0,0,0,39,0,0,3295,0,0,0,0,0,0,0,0,0,3334,3334,2017-01-01
      HIDROVIÁRIO  ,0,0,0.0,0,0,0,0,0,0,0,0,316,924,0,0,0,0,0,0,0,0,0,0,0,0,0,1241,1241,2017-01-01
   INDUSTRIAL - TOTAL  ,0,8995,3660.75685096754,0,0,0,7345,17199,7657,44858,74,942,1980,0,999,0,1,1201,7744,0,17172,3404,0,6546,0,90,40159,85018,2017-01-01
      CIMENTO  ,0,4,63.6389071848883,0,0,0,60,0,286,414,3,47,4,0,12,0,0,0,46,0,516,93,0,2525,0,0,3250,3664,2017-01-01
      FERRO-GUSA E AÇO  ,0,1160,2289.33246242837,0,0,0,0,0,0,3449,2,25,3,0,43,0,0,1201,7340,0,1628,2621,0,40,0,90,12997,16447,2017-01-01
      FERRO-LIGAS  ,0,0,0.0,0,0,0,67,0,0,67,0,5,15,0,22,0,0,0,75,0,806,649,0,122,0,0,1698,1766,2017-01-01
      MINERAÇÃO E PELOTIZAÇÃO,0,416,247.199319999071,0,0,0,0,0,0,663,26,339,84,0,37,0,0,0,41,0,1074,0,0,385,0,0,1991,2655,2017-01-01
      NÃO-FERROSOS E OUTROS DA METALURGIA,0,586,711.605989918317,0,0,0,0,0,0,1297,0,9,1202,0,31,0,0,0,240,0,2347,10,0,520,0,0,4362,5660,2017-01-01
      QUÍMICA  ,0,2162,149.109338599354,0,0,0,46,0,80,2439,1,16,132,0,210,0,0,0,0,0,1905,16,0,2295,0,0,4579,7018,2017-01-01
      ALIMENTOS E BEBIDAS  ,0,849,50.537907637987,0,0,0,2218,17168,10,20297,17,216,86,0,234,0,0,0,0,0,2363,0,0,82,0,0,2999,23297,2017-01-01
      TÊXTIL  ,0,223,0.0,0,0,0,61,0,0,284,0,1,15,0,28,0,0,0,0,0,560,0,0,0,0,0,605,889,2017-01-01
      PAPEL E CELULOSE  ,0,811,95.90047420525,0,0,0,1985,31,7208,10132,13,169,291,0,69,0,0,0,0,0,1998,0,0,0,0,0,2542,12674,2017-01-01
      CERÂMICA ,0,1326,40.774550322511,0,0,0,2080,0,54,3502,1,15,57,0,156,0,0,0,0,0,321,0,0,224,0,0,778,4280,2017-01-01
      OUTROS  ,0,1453,12.6579006717992,0,0,0,825,0,17,2308,7,96,86,0,152,0,0,0,0,0,3650,11,0,349,0,0,4354,6663,2017-01-01
   CONSUMO NÃO-IDENTIFICADO  ,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-01-01
 AJUSTES  ,-86,-95,23.6844246923989,0,0,0,0,0,0,-157,0,-17,1,0,23,0,48,0,0,0,0,0,-33,-140,8,0,-111,-269,2017-01-01
    PRODUÇÃO  ,130373,37610,2635.92352147372,0,0,32758,23502,50658,18324,295862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295862,2016-01-01
    IMPORTAÇÃO  ,8008,10320,4992.04241472,7916,4173,0,0,0,0,35410,0,7181,62,2933,2110,6630,785,0,763,2180,3552,0,434,1605,1042,0,29283,64694,2016-01-01
    VARIAÇÃO DE ESTOQUES  ,-500,0,-150.453614,-222,647,0,0,0,0,-225,-1,-211,-1,-29,45,96,49,0,-19,-2789,0,0,160,-6,64,0,-2644,-2869,2016-01-01
 OFERTA TOTAL  ,137880,47930,7477.51232219372,7694,4820,32758,23502,50658,18324,331047,-1,6970,60,2904,2156,6726,835,0,744,-609,3552,0,594,1598,1106,0,26639,357686,2016-01-01
    EXPORTAÇÃO  ,-43812,0,0.0,0,0,0,0,0,0,-43812,0,-705,-6699,-560,0,0,-2281,0,0,0,-44,0,-935,-406,-603,0,-12237,-56049,2016-01-01
    NÃO-APROVEITADA  ,0,-1458,0.0,0,0,0,0,0,0,-1458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1458,2016-01-01
    REINJEÇÃO  ,0,-10903,0.0,0,0,0,0,0,0,-10903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10903,2016-01-01
 OFERTA INTERNA BRUTA  ,94068,35568,7477.51232219372,7694,4820,32758,23502,50658,18324,274872,-1,6264,-6638,2343,2156,6726,-1445,0,744,-609,3508,0,-340,1192,502,0,14402,289275,2016-01-01
 TOTAL TRANSFORMAÇÃO  ,-94062,-18320,-4211.78557541327,-7690,-4820,-32758,-7503,-20867,-10246,-200482,2950,36525,10114,21703,6239,-468,4765,1308,6370,609,50257,3797,14702,9274,6350,225,174726,-25755,2016-01-01
    REFINARIAS DE PETRÓLEO  ,-92111,0,0.0,0,0,0,0,0,-4681,-96793,0,38575,11506,20467,4491,2452,4765,0,0,0,0,0,0,8810,5242,0,96310,-482,2016-01-01
    PLANTAS DE GÁS NATURAL  ,0,-3992,0.0,0,0,0,0,0,639,-3352,0,0,0,385,1641,114,0,0,0,0,0,0,0,0,1010,0,3152,-200,2016-01-01
    USINAS DE GASEIFICAÇÃO  ,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-01
    COQUERIAS,0,0,0.0,-7690,0,0,0,0,0,-7690,0,0,0,0,0,0,0,1569,6370,0,0,0,0,-825,0,234,7348,-342,2016-01-01
    CICLO DO COMBUSTÍVEL NUCLEAR,0,0,0.0,0,-4820,0,0,0,0,-4820,0,0,0,0,0,0,0,0,0,4743,0,0,0,0,0,0,4743,-76,2016-01-01
    CENTRAIS ELÉTRICAS DE SERVIÇO PÚBLICO,0,-8739,-3937.19101181068,0,0,-30916,-43,0,-3026,-46662,-54,-775,-1130,0,0,0,0,0,0,-4134,41311,0,0,-72,0,0,35144,-11518,2016-01-01
    CENTRAIS ELÉTRICAS AUTOPRODUTORAS,0,-3694,-274.594563602588,0,0,-1841,-334,-6109,-4133,-16387,-5,-693,-228,0,0,0,0,-260,0,0,8946,0,0,-528,0,-8,7220,-9167,2016-01-01
    CARVOARIAS,0,0,0.0,0,0,0,-7125,0,0,-7125,0,0,0,0,0,0,0,0,0,0,0,3797,0,0,0,0,3797,-3327,2016-01-01
    DESTILARIAS,0,0,0.0,0,0,0,0,-14758,0,-14758,0,0,0,0,0,0,0,0,0,0,0,0,14702,0,0,0,14702,-56,2016-01-01
    OUTRAS TRANSFORMAÇÕES,-1950,-1894,0.0,0,0,0,0,0,955,-2890,3010,-580,-32,851,105,-3035,0,0,0,0,0,0,0,1890,96,0,2306,-583,2016-01-01
 PERDAS NA DISTRIBUIÇÃO E ARMAZENAGEM  ,0,-386,-6.84,-3,0,0,0,0,0,-397,0,0,0,0,0,0,0,0,-4,0,-8455,-56,-53,-121,0,0,-8691,-9088,2016-01-01
 CONSUMO FINAL  ,0,17188,3257.5440631481,0,0,0,15999,29790,8077,74313,2945,42867,3451,24224,8267,6276,3309,1319,7110,0,45310,3741,14331,10170,6916,225,180470,254783,2016-01-01
  CONSUMO FINAL NÃO-ENERGÉTICO,0,677,0.0,0,0,0,0,0,0,677,0,0,0,0,0,6276,2,0,0,0,0,0,442,311,6916,143,14093,14771,2016-01-01
  CONSUMO FINAL ENERGÉTICO,0,16511,3257.5440631481,0,0,0,15999,29790,8077,73636,2945,42867,3451,24224,8267,0,3306,1319,7110,0,45310,3741,13889,9859,0,82,166376,240012,2016-01-01
    SETOR ENERGÉTICO  ,0,5528,0.0,0,0,0,0,12236,0,17765,0,645,202,0,0,0,0,206,0,0,3032,0,0,3567,0,0,7654,25419,2016-01-01
    RESIDENCIAL  ,0,356,0.0,0,0,0,6063,0,539,6959,0,0,0,0,6573,0,2,0,0,0,11428,429,0,0,0,0,18433,25392,2016-01-01
    COMERCIAL  ,0,133,0.0,0,0,0,89,0,104,327,0,7,17,0,396,0,0,0,0,0,7645,84,0,0,0,0,8151,8479,2016-01-01
    PÚBLICO,0,43,0.0,0,0,0,0,0,0,43,0,2,0,0,258,0,0,0,0,0,3727,0,0,0,0,0,3989,4032,2016-01-01
    AGROPECUÁRIO  ,0,0,0.0,0,0,0,2618,0,0,2618,404,5747,11,0,18,0,0,0,0,0,2428,7,8,0,0,0,8626,11244,2016-01-01
    TRANSPORTES - TOTAL  ,0,1593,0.0,0,0,0,0,0,0,1593,2470,35474,866,24224,0,0,3303,0,0,0,172,0,13880,0,0,0,80393,81986,2016-01-01
      RODOVIÁRIO  ,0,1593,0.0,0,0,0,0,0,0,1593,2408,34262,0,24181,0,0,0,0,0,0,0,0,13880,0,0,0,74732,76325,2016-01-01
      FERROVIÁRIO  ,0,0,0.0,0,0,0,0,0,0,0,62,885,0,0,0,0,0,0,0,0,172,0,0,0,0,0,1120,1120,2016-01-01
      AÉREO ,0,0,0.0,0,0,0,0,0,0,0,0,0,0,43,0,0,3303,0,0,0,0,0,0,0,0,0,3347,3347,2016-01-01
      HIDROVIÁRIO  ,0,0,0.0,0,0,0,0,0,0,0,0,327,866,0,0,0,0,0,0,0,0,0,0,0,0,0,1194,1194,2016-01-01
   INDUSTRIAL - TOTAL  ,0,8856,3257.5440631481,0,0,0,7227,17553,7433,44329,69,989,2353,0,1020,0,1,1113,7110,0,16874,3221,0,6292,0,82,39127,83456,2016-01-01
      CIMENTO  ,0,4,60.363925002489,0,0,0,63,0,302,431,3,51,4,0,14,0,0,0,48,0,548,99,0,2670,0,0,3441,3872,2016-01-01
      FERRO-GUSA E AÇO  ,0,1012,1935.36846,0,0,0,0,0,0,2947,1,23,2,0,59,0,0,1113,6727,0,1484,2489,0,36,0,82,12022,14969,2016-01-01
      FERRO-LIGAS  ,0,0,0.0,0,0,0,63,0,0,63,0,5,50,0,20,0,0,0,65,0,777,593,0,108,0,0,1621,1685,2016-01-01
      MINERAÇÃO E PELOTIZAÇÃO,0,409,246.63788396915,0,0,0,0,0,0,656,25,358,151,0,41,0,1,0,39,0,1016,0,0,422,0,0,2056,2712,2016-01-01
      NÃO-FERROSOS E OUTROS DA METALURGIA,0,563,707.0545322688,0,0,0,0,0,0,1270,0,9,1243,0,31,0,0,0,228,0,2331,10,0,523,0,0,4378,5649,2016-01-01
      QUÍMICA  ,0,2197,125.765923767978,0,0,0,42,0,80,2447,1,15,325,0,184,0,0,0,0,0,1900,16,0,1851,0,0,4296,6743,2016-01-01
      ALIMENTOS E BEBIDAS  ,0,832,51.120605268999,0,0,0,2149,17523,9,20567,15,225,86,0,240,0,0,0,0,0,2314,0,0,80,0,0,2963,23531,2016-01-01
      TÊXTIL  ,0,197,0.0,0,0,0,58,0,0,256,0,1,15,0,31,0,0,0,0,0,537,0,0,0,0,0,586,842,2016-01-01
      PAPEL E CELULOSE  ,0,777,83.93565186513,0,0,0,1949,29,6970,9811,11,170,367,0,68,0,0,0,0,0,1952,0,0,0,0,0,2570,12381,2016-01-01
      CERÂMICA ,0,1324,36.653147801439,0,0,0,2080,0,54,3496,1,18,48,0,162,0,0,0,0,0,321,0,0,223,0,0,775,4271,2016-01-01
      OUTROS  ,0,1535,10.6439332041111,0,0,0,818,0,15,2380,7,111,55,0,165,0,0,0,0,0,3688,11,0,375,0,0,4417,6797,2016-01-01
   CONSUMO NÃO-IDENTIFICADO  ,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-01
 AJUSTES  ,-6,327,-1.34268363234921,0,0,0,0,0,0,320,-4,77,-24,177,-128,18,-9,11,0,0,0,0,23,-173,63,0,32,352,2016-01-01
    PRODUÇÃO  ,126127,34871,2458.69350475092,0,512,30937,25074,50400,16743,287125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287125,2015-01-01
    IMPORTAÇÃO  ,15376,16198,5637.64851,7625,2159,0,0,0,0,46996,0,5885,339,2259,1949,6171,1129,0,1583,2729,2979,0,431,2349,1160,0,28968,75965,2015-01-01
    VARIAÇÃO DE ESTOQUES  ,-1164,0,220.637538637592,55,-1700,0,0,0,0,-2589,7,313,-27,-2,-1,65,25,0,43,155,0,0,898,-22,33,0,1490,-1098,2015-01-01
 OFERTA TOTAL  ,140338,51069,8316.97955338851,7680,970,30937,25074,50400,16743,331532,7,6198,311,2257,1948,6237,1155,0,1627,2884,2979,0,1330,2327,1194,0,30459,361992,2015-01-01
    EXPORTAÇÃO  ,-38050,0,0.0,0,0,0,0,0,0,-38050,0,-651,-7721,-474,-16,0,-2440,0,0,0,-18,0,-1107,-385,-627,0,-13442,-51493,2015-01-01
    NÃO-APROVEITADA  ,0,-1376,0.0,0,0,0,0,0,0,-1376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1376,2015-01-01
    REINJEÇÃO  ,0,-8721,0.0,0,0,0,0,0,0,-8721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8721,2015-01-01
 OFERTA INTERNA BRUTA  ,102288,40970,8316.97955338851,7680,970,30937,25074,50400,16743,283383,7,5547,-7409,1782,1931,6237,-1284,0,1627,2884,2960,0,223,1941,566,0,17016,300400,2015-01-01
 TOTAL TRANSFORMAÇÃO  ,-101950,-22864,-4502.43429127711,-7675,-970,-30937,-8409,-21732,-9130,-208174,2978,38889,10876,21517,6366,560,4656,1389,6264,-2884,50451,4258,15704,9474,6167,228,176900,-31274,2015-01-01
    REFINARIAS DE PETRÓLEO  ,-99972,0,0.0,0,0,0,0,0,-3954,-103927,0,42248,14188,19864,4581,3545,4656,0,0,0,0,0,0,9127,5133,0,103345,-581,2015-01-01
    PLANTAS DE GÁS NATURAL  ,0,-3726,0.0,0,0,0,0,0,244,-3481,0,0,0,731,1620,0,0,0,0,0,0,0,0,0,921,0,3273,-208,2015-01-01
    USINAS DE GASEIFICAÇÃO  ,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-01-01
    COQUERIAS,0,0,0.0,-7675,0,0,0,0,0,-7675,0,0,0,0,0,0,0,1634,6264,0,0,0,0,-801,0,236,7334,-341,2015-01-01
    CICLO DO COMBUSTÍVEL NUCLEAR,0,0,0.0,0,-970,0,0,0,0,-970,0,0,0,0,0,0,0,0,0,955,0,0,0,0,0,0,955,-15,2015-01-01
    CENTRAIS ELÉTRICAS DE SERVIÇO PÚBLICO,0,-13704,-4264.53007613418,0,0,-29125,-65,0,-2001,-49161,-132,-1888,-3055,0,0,0,0,0,0,-3839,41703,0,0,-74,0,0,32711,-16450,2015-01-01
    CENTRAIS ELÉTRICAS AUTOPRODUTORAS,0,-3493,-237.904215142931,0,0,-1812,-354,-5934,-3913,-15745,-7,-904,-256,0,0,0,0,-245,0,0,8748,0,0,-621,0,-8,6704,-9040,2015-01-01
    CARVOARIAS,0,0,0.0,0,0,0,-7988,0,0,-7988,0,0,0,0,0,0,0,0,0,0,0,4258,0,0,0,0,4258,-3730,2015-01-01
    DESTILARIAS,0,0,0.0,0,0,0,0,-15797,0,-15797,0,0,0,0,0,0,0,0,0,0,0,0,15704,0,0,0,15704,-93,2015-01-01
    OUTRAS TRANSFORMAÇÕES,-1978,-1940,0.0,0,0,0,0,0,493,-3425,3118,-565,0,921,164,-2984,0,0,0,0,0,0,0,1846,112,0,2613,-812,2015-01-01
 PERDAS NA DISTRIBUIÇÃO E ARMAZENAGEM  ,0,-464,-6.84,-5,0,0,0,0,0,-476,0,0,0,0,0,0,0,0,-5,0,-7817,-62,-54,-113,0,0,-8053,-8529,2015-01-01
 CONSUMO FINAL  ,0,17415,3854.97287818578,0,0,0,16665,28667,7613,74216,2984,44426,3493,23305,8258,6801,3615,1336,7886,0,45594,4195,15926,11218,6730,228,186003,260220,2015-01-01
  CONSUMO FINAL NÃO-ENERGÉTICO,0,684,0.0,0,0,0,0,0,0,684,0,0,0,0,0,6801,2,0,0,0,0,0,489,266,6730,133,14425,15110,2015-01-01
  CONSUMO FINAL ENERGÉTICO,0,16730,3854.97287818578,0,0,0,16665,28667,7613,73531,2984,44426,3493,23305,8258,0,3612,1336,7886,0,45594,4195,15436,10952,0,94,171578,245110,2015-01-01
    SETOR ENERGÉTICO  ,0,5324,0.0,0,0,0,0,13154,0,18479,0,823,242,0,29,0,0,188,0,0,3199,0,0,3955,0,0,8439,26919,2015-01-01
    RESIDENCIAL  ,0,311,0.0,0,0,0,6333,0,492,7137,0,0,0,0,6541,0,2,0,0,0,11282,473,0,0,0,0,18300,25438,2015-01-01
    COMERCIAL  ,0,114,0.0,0,0,0,94,0,93,301,0,3,26,0,396,0,0,0,0,0,7864,88,0,0,0,0,8379,8681,2015-01-01
    PÚBLICO,0,43,0.0,0,0,0,0,0,0,43,0,2,9,0,256,0,0,0,0,0,3736,0,0,0,0,0,4004,4048,2015-01-01
    AGROPECUÁRIO  ,0,0,0.0,0,0,0,2813,0,0,2813,413,5883,13,0,2,0,0,0,0,0,2303,8,12,0,0,0,8638,11451,2015-01-01
    TRANSPORTES - TOTAL  ,0,1552,0.0,0,0,0,0,0,0,1552,2497,36673,963,23305,0,0,3609,0,0,0,176,0,15424,0,0,0,82650,84203,2015-01-01
      RODOVIÁRIO  ,0,1552,0.0,0,0,0,0,0,0,1552,2434,35426,0,23256,0,0,0,0,0,0,0,0,15424,0,0,0,76542,78094,2015-01-01
      FERROVIÁRIO  ,0,0,0.0,0,0,0,0,0,0,0,63,902,0,0,0,0,0,0,0,0,176,0,0,0,0,0,1143,1143,2015-01-01
      AÉREO ,0,0,0.0,0,0,0,0,0,0,0,0,0,0,48,0,0,3609,0,0,0,0,0,0,0,0,0,3657,3657,2015-01-01
      HIDROVIÁRIO  ,0,0,0.0,0,0,0,0,0,0,0,0,343,963,0,0,0,0,0,0,0,0,0,0,0,0,0,1307,1307,2015-01-01
   INDUSTRIAL - TOTAL  ,0,9384,3854.97287818578,0,0,0,7424,15512,7027,43203,73,1039,2238,0,1032,0,0,1148,7886,0,17030,3624,0,6996,0,94,41165,84368,2015-01-01
      CIMENTO  ,0,11,70.40436724303,0,0,0,69,0,330,482,3,55,8,0,16,0,0,0,69,0,611,109,0,3076,0,0,3952,4434,2015-01-01
      FERRO-GUSA E AÇO  ,0,1223,2124.40995,0,0,0,0,0,0,3347,1,26,1,0,25,0,0,1148,7441,0,1609,2987,0,40,0,94,13377,16725,2015-01-01
      FERRO-LIGAS  ,0,5,0.0513267,0,0,0,58,0,0,64,0,5,8,0,22,0,0,0,70,0,587,486,0,114,0,0,1294,1359,2015-01-01
      MINERAÇÃO E PELOTIZAÇÃO,0,657,417.4342105711,0,0,0,0,0,0,1074,25,367,165,0,22,0,0,0,60,0,1095,0,0,532,0,0,2270,3344,2015-01-01
      NÃO-FERROSOS E OUTROS DA METALURGIA,0,592,689.39008872,0,0,0,0,0,0,1282,0,8,1237,0,35,0,0,0,245,0,2315,10,0,510,0,0,4364,5646,2015-01-01
      QUÍMICA  ,0,2222,171.92037631899,0,0,0,47,0,84,2526,1,16,206,0,214,0,0,0,0,0,1940,18,0,1950,0,0,4348,6874,2015-01-01
      ALIMENTOS E BEBIDAS  ,0,833,64.935742,0,0,0,2171,15485,10,18565,15,222,119,0,227,0,0,0,0,0,2242,0,0,81,0,0,2909,21475,2015-01-01
      TÊXTIL  ,0,214,0.0,0,0,0,61,0,0,276,0,2,19,0,36,0,0,0,0,0,560,0,0,0,0,0,618,894,2015-01-01
      PAPEL E CELULOSE  ,0,804,85.89644134883,0,0,0,1832,27,6528,9279,11,161,341,0,71,0,0,0,0,0,1864,0,0,0,0,0,2450,11729,2015-01-01
      CERÂMICA ,0,1324,62.2495631761184,0,0,0,2311,0,59,3757,1,22,58,0,172,0,0,0,0,0,338,0,0,262,0,0,856,4613,2015-01-01
      OUTROS  ,0,1493,168.280812107712,0,0,0,870,0,13,2546,10,150,71,0,187,0,0,0,0,0,3863,12,0,427,0,0,4724,7271,2015-01-01
   CONSUMO NÃO-IDENTIFICADO  ,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-01-01
 AJUSTES  ,-337,-225,47.2676160743796,0,0,0,0,0,0,-515,0,-10,27,5,-39,3,244,-52,0,0,0,0,53,-84,-3,0,140,-375,2015-01-01
    PRODUÇÃO  ,116704,31660,3059.11440955272,0,681,32115,25222,49273,14817,273535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273535,2014-01-01
    IMPORTAÇÃO  ,18082,17001,5305.8358,8110,2883,0,0,0,0,51383,0,9561,381,1625,2276,5237,1235,0,1254,1022,2904,0,511,2997,1132,0,30141,81525,2014-01-01
    VARIAÇÃO DE ESTOQUES  ,25,0,-89.4123389624084,-51,-1817,0,0,0,0,-1933,-22,-179,-54,501,-10,-65,-56,0,-67,1266,0,0,-848,-1,4,0,464,-1468,2014-01-01
 OFERTA TOTAL  ,134812,48661,8275.53787059031,8058,1747,32115,25222,49273,14817,322984,-22,9381,327,2126,2266,5171,1179,0,1186,2288,2904,0,-337,2995,1137,0,30606,353591,2014-01-01
    EXPORTAÇÃO  ,-26800,0,0.0,0,0,0,0,0,0,-26800,0,-793,-8109,-280,-10,0,-2506,0,0,0,0,0,-766,-384,-530,0,-13383,-40183,2014-01-01
    NÃO-APROVEITADA  ,0,-1600,0.0,0,0,0,0,0,0,-1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1600,2014-01-01
    REINJEÇÃO  ,0,-5688,0.0,0,0,0,0,0,0,-5688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5688,2014-01-01
 OFERTA INTERNA BRUTA  ,108012,41372,8275.53787059031,8058,1747,32115,25222,49273,14817,288894,-22,8587,-7782,1845,2255,5171,-1327,0,1186,2288,2904,0,-1103,2611,607,0,17223,306117,2014-01-01
 TOTAL TRANSFORMAÇÃO  ,-107696,-22827,-4343.66231864338,-8054,-1747,-32115,-8553,-20661,-7661,-213662,2548,38038,11903,23848,6161,856,5006,1363,6552,-2288,51280,4358,14841,9281,7504,237,181496,-32166,2014-01-01
    REFINARIAS DE PETRÓLEO  ,-107284,0,0.0,0,0,0,0,0,-3393,-110678,0,42514,16125,22302,4651,3903,5006,0,0,0,0,0,0,9027,6821,0,110353,-324,2014-01-01
    PLANTAS DE GÁS NATURAL  ,0,-3628,0.0,0,0,0,0,0,556,-3072,0,0,0,616,1346,0,0,0,0,0,0,0,0,0,911,0,2874,-198,2014-01-01
    USINAS DE GASEIFICAÇÃO  ,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-01-01
    COQUERIAS,0,0,0.0,-8054,0,0,0,0,0,-8054,0,0,0,0,0,0,0,1702,6552,0,0,0,0,-841,0,247,7661,-392,2014-01-01
    CICLO DO COMBUSTÍVEL NUCLEAR,0,0,0.0,0,-1747,0,0,0,0,-1747,0,0,0,0,0,0,0,0,0,1719,0,0,0,0,0,0,1719,-27,2014-01-01
    CENTRAIS ELÉTRICAS DE SERVIÇO PÚBLICO,0,-14218,-4140.26103325674,0,0,-30216,-67,0,-1173,-49816,-154,-2747,-3395,0,0,0,0,0,0,-4007,42702,0,0,-78,0,0,32319,-17497,2014-01-01
    CENTRAIS ELÉTRICAS AUTOPRODUTORAS,0,-3275,-203.401285386644,0,0,-1899,-308,-5713,-3698,-15098,-5,-1063,-229,0,0,0,0,-338,0,0,8578,0,0,-608,0,-10,6322,-8776,2014-01-01
    CARVOARIAS,0,0,0.0,0,0,0,-8176,0,0,-8176,0,0,0,0,0,0,0,0,0,0,0,4358,0,0,0,0,4358,-3818,2014-01-01
    DESTILARIAS,0,0,0.0,0,0,0,0,-14947,0,-14947,0,0,0,0,0,0,0,0,0,0,0,0,14841,0,0,0,14841,-106,2014-01-01
    OUTRAS TRANSFORMAÇÕES,-411,-1705,0.0,0,0,0,0,0,47,-2069,2708,-665,-597,929,163,-3047,0,0,0,0,0,0,0,1783,-228,0,1046,-1023,2014-01-01
 PERDAS NA DISTRIBUIÇÃO E ARMAZENAGEM  ,0,-458,-6.27,-4,0,0,0,0,0,-469,0,0,0,0,0,0,0,0,-6,0,-7893,-64,-57,-92,0,0,-8114,-8583,2014-01-01
