CONTA,PETRÓLEO,GÁS NATURAL,CARVÃO VAPOR,CARVÃO METALÚRGICO,URÂNIO U3O8,ENERGIA HIDRÁULICA,LENHA,PRODUTOS DA CANA,OUTRAS FONTES PRIMÁRIAS,ENERGIA PRIMÁRIA TOTAL,BIODIESEL,ÓLEO DIESEL,ÓLEO COMBUSTÍVEL,GASOLINA,GLP,NAFTA,QUEROSENE,GÁS DE CIDADE E DE COQUERIA,COQUE DE CARVÃO MINERAL,URÂNIO CONTIDO NO UO2,ELETRICIDADE,CARVÃO VEGETAL,ÁLCOOL ETÍLICO ANIDRO E HIDRATADO,OUTRAS SECUNDÁRIAS DE PETRÓLEO,PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO,ALCATRÃO,ENERGIA SECUNDÁRIA TOTAL,TOTAL,Ano
    TRANSPORTES - TOTAL  ,0,1438,0.0,0,0,0,0,0,9,1448,5834,40760,735,24877,0,0,3366,0,0,0,185,0,18622,0,0,0,94383,95831,2024-01-01
      RODOVIÁRIO  ,0,1438,0.0,0,0,0,0,0,9,1448,5690,39372,0,24845,0,0,0,0,0,0,26,0,18622,0,0,0,88557,90005,2024-01-01
      FERROVIÁRIO  ,0,0,0.0,0,0,0,0,0,0,0,144,1002,0,0,0,0,0,0,0,0,159,0,0,0,0,0,1306,1306,2024-01-01
      AÉREO ,0,0,0.0,0,0,0,0,0,0,0,0,0,0,32,0,0,3366,0,0,0,0,0,0,0,0,0,3398,3398,2024-01-01
      HIDROVIÁRIO  ,0,0,0.0,0,0,0,0,0,0,0,0,385,735,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,1120,2024-01-01
   INDUSTRIAL - TOTAL  ,0,8553,3392.21753579999,0,0,0,8194,19421,10337,49899,173,1198,1175,0,1050,0,0,1125,7472,0,20107,3664,0,5464,0,85,41517,91416,2024-01-01
      CIMENTO  ,0,5,98.9184961365771,0,0,0,67,0,1107,1279,5,39,4,0,9,0,0,0,75,0,624,104,0,2608,0,0,3473,4753,2024-01-01
      FERRO-GUSA E AÇO  ,0,1338,2270.56203840624,0,0,0,0,0,0,3609,4,31,22,0,55,0,0,1125,6949,0,1557,2680,0,38,0,85,12551,16160,2024-01-01
      FERRO-LIGAS  ,0,0,0.0,0,0,0,43,0,0,43,1,11,34,0,30,0,0,0,76,0,812,837,0,49,0,0,1854,1897,2024-01-01
      MINERAÇÃO E PELOTIZAÇÃO,0,392,169.073354587066,0,0,0,0,0,0,561,65,455,109,0,40,0,0,0,35,0,1154,0,0,210,0,0,2072,2633,2024-01-01
      NÃO-FERROSOS E OUTROS DA METALURGIA,0,594,719.650908672548,0,0,0,0,0,1,1315,2,19,556,0,62,0,0,0,335,0,2777,11,0,481,0,0,4247,5562,2024-01-01
